name,nation,remarks,website,available_number,language_condition,one_year_available,course_restriction,not_major_course,keyword,satisfaction,went_number,went_major,image_url
University of Oslo,노르웨이,,https://www.uio.no/english/studies/admission/exchange/,2,"TOEFL IBT 60(학사) 90(석사), 또는 IELTS 5.0(학사) 6.5(석사)",Yes ( With taking 1 exchange spot),Medicine and dentistry,Yes,"['힘들다', '체계', '프로그램', '계시다', '지다', '적응하다', '지나다', '버티다', '처음', '다양하다']",4.43,7,"['정치외교학과', '심리학과', '철학과', '신문방송학과', '사회학과']",http://t1.gstatic.com/images?q=tbn:ANd9GcSSktKYHPoCGzcQmprxrvT9ZwjaRz9UZWfCBOj2Uk98JVbXOyKKFWQT_MSS
The University of Auckland,뉴질랜드,글로벌경영/경영전공만 지원가능,https://www.auckland.ac.nz/en/study/international-students/study-options-for-international-students/study-abroad-and-exchange.html,"2(경영학과 1, 그 외1)","학부수업수강 : IELTS 6.0 (각 영역 5.5 이상), 또는 토플 IBT 80 (Writing 21 이상)
석사수업수강 : IELTS 6.5 (각 영역 6.0 이상), 또는 토플 IBT 90 (Writing 21 이상)",Yes ( With taking 1 exchange spot),"Medicine, Surgery, Parmacy, Optometry, Nursing, Law, 6개월 수학 시 1년 수업 수강 불가, 그 외 특정 수업들 수강 불가 - 학생 직접 체크",Yes,,0,0,[],http://t1.gstatic.com/images?q=tbn:ANd9GcSV0_wD4PVDh4uSTu6C5U5WOX37cUu6tHmwGs1i-6Tm6dYdQIG7U0-jSJM
National Taiwan University,대만,,https://oia.ntu.edu.tw/study-at-ntu/incoming-exchange-student/program-overview,"4 (경영학과 2, 그 외2)","IELTS 5.5, TOEFL IBT 80, Letter of Proficiency 중 한 가지 제출",Yes ( With taking 1 exchange spot),GMBA required courses,Yes,"['시스템', '체계', '빠르다', '피드백', '담당자', '재미있다', '국립', '많다', '친절하다', '동안']",4.57,7,"['영어영문학과', '심리학과', '중어중문학과', '경영학과']",http://t1.gstatic.com/images?q=tbn:ANd9GcQZmfyzbxOVbbI71s4sPX34vmxzi_iOATfq9cHCSgEeEJwRQBEMmzpXZAA
National Sun Yat-sen University,대만,,http://exchange.oia.nsysu.edu.tw/,4,"★주요과목들 중국어로 진행★ We do not require their language proficiency. However, most of our courses are taught in Chinese, part of them are taught in English.",Yes ( With taking 1 exchange spot),"All fields are open to exchange students as long as the student has adequate Chinese proficiency. Otherwise, students can only take courses offered in English. Students are allowed to choose courses from different departments or levels. Some graduate level courses are not open to undergraduate students.  ",Yes,"['이번', '방학', '보내다', '재미있다', '쉬다', '기억', '주변', '한식당', '가오슝', '날씨']",3.43,7,"['중어중문학과', '국어국문학과', '경영학과', '정치외교학과']",http://t1.gstatic.com/images?q=tbn:ANd9GcSgnaOMf0ErTVPUEPCcMJeVZP7PQCzco9koBamgYRLHpKSs6pd56KvKgiUs
National Taipei University,대만,글로벌경영/경영전공만 지원가능,http://120.126.192.137/en/ ,2,IBT 71 또는 IELTS 5.5 ,No,Course catalog,https://www.ntpu.edu.tw/admin/a7/org/a7-2/course_download4.php,,0,0,[],http://t1.gstatic.com/images?q=tbn:ANd9GcRYeIX6QdwAIyuo-K2T_-84Xn1XVXWqU6GNFd8eyHbTHcj986j3gcIVRpwg
Shih Hsin University,대만,,http://english.web.shu.edu.tw/,2,중국어수업수강 : HSK level 4 또는 TOCFL A2 certificate / 그 외 영어수업 수강 가능,Yes ( With taking 1 exchange spot),"If students want to take Chinese-taught courses, they need to have HSK level 4 or TOCFL A2 certificate, or they can only take English-taught courses.",Yes,,0,0,[],http://t1.gstatic.com/images?q=tbn:ANd9GcTBMGctGhnIn_PE9B0-c35jFh-OX2mKktKWI5lMq5kSltANqnK2lvx0FFpm
Copenhagen Business Academy,덴마크,,https://www.cphbusiness.dk/english/admission/exchange-students,3,"IELTS 6.0, 또는 TOEFL IBT 70",Yes ( With taking 1 exchange spot),The available course can be found in the course catalogue,Yes,,0,0,[],http://t1.gstatic.com/images?q=tbn:ANd9GcRwcALjLwpAqBJd2nX3PpWkDBFKF-yABx7N7jQ_HxnMWCj0wgcEpLdAXFM
Technical University of Denmark (DTU),덴마크,,https://www.dtu.dk/english/Education/Incoming-students/Exchange,6,"B2 level, 학교에서 제시하는 B2 가이드 라인 : 토플 IBT 88, IELTS 6.5
https://www.dtu.dk/english/Education/msc/Admission-and-deadlines/Language_test_requirements",Yes ( With taking 1 exchange spot),No,Yes,"['의미', '교환학생', '들어서다', '듣다', '않다', '레포트', '보통', '자다', '하다', '실험']",5.0,2,"['융합생명공학과', '신소재공학부']",http://t1.gstatic.com/images?q=tbn:ANd9GcSmRzzr4KWt3EiKaZ_u_Cxj_Zv3V3euCXaUlzN9HSvY0myyg2kpYstzCbK3
Aalborg University,덴마크,,https://www.en.aau.dk/education/apply/exchange/,4,IELTS 6.5 또는 토플 IBT 85,Yes ( With taking 1 exchange spot),"https://www.en.aau.dk/education/guest-exchange
The students can choose courses within our agreement. AAU offers package deals, for which reason it is not possible to mix the courses between the different programmes. ",No,,0,0,[],http://t1.gstatic.com/images?q=tbn:ANd9GcQU1cbNoncCSQM4_rr8cq5TZ8QauYUpRMEQPEQneiEYn-sTn-fTGkfqeD2L
the University of Copenhagen,덴마크,,https://studies.ku.dk/exchange/admission/exchange/,3,"English/American Language and Culture : 토플 IBT, 또는 IELTS 6.0
Film & Media Studies and Philosophy : 토플 IBT, IELTS 6.0, Institutional tests or statements regarding the students' English proficiency issued by the home university 중 한 가지 제출
Library and Information Science : 토플 IBT 83, 또는 IELTS 6.5
Political Science : 토플 IBT 80, 또는 IELTS 6.0
그 외 학과 : Letter of Proficiency",No,Please look up this information in our Student Fact Sheet here https://studies.ku.dk/exchange/admission/,Yes,"['매우', '제대로', '로움', '유일하다', '여행', '지역', '편하다', '워낙', '소통', '월동']",4.71,7,"['정치외교학과', '심리학과', '교육학과', '문헌정보학과', '국어국문학과']",http://t1.gstatic.com/images?q=tbn:ANd9GcQmN97YIg_cK1y4gGOOMINMg2K0fELAK0OAmmKjtVc6g1EPXyYVkmeFKA
Roskilde University,덴마크,,https://ruc.dk/en/admission-exchange,4,"TOEFL IBT 80, 또는 IELTS 6.5",Yes ( With taking 1 exchange spot),No,Yes,"['수강', '선택', '되어다', '방식', '궁금', '수업', '프로젝트', '교육', '하다']",5.0,1,['교육학과'],http://t1.gstatic.com/images?q=tbn:ANd9GcQhfsSpbp_k_dhgxFTUzyQfUovTm9eK_lI2bl-Q9QkOYv7Q29dK8LEnvB68
University of Southern Denmark (SDU),덴마크,,https://www.sdu.dk/en/uddannelse/exchange_programmes,2,"Letther of Proficiency (We require a signed Language Requirement Form from the student’s home university. With this form, the university confirms that the student has the necessary language proficiency)",Yes ( With taking 1 exchange spot),"Depends on the Faculty, please ask for more specific information",Yes,"['여행', '시작', '정도', '유럽', '고대', '새롭다', '떠나다', '무색', '걱정', '친구']",4.67,3,"['영어영문학과', '생명과학과']",http://t1.gstatic.com/images?q=tbn:ANd9GcSyzdrdMxpwhMQa_Sb29r-lQbNC2GrNmeophRC1rfoYxVUqv2Pxskpujk4
RWTH Aachen,독일,,,3,"TOEFL IBT 80, 또는 IELTS 6.5",Yes ( With taking 1 exchange spot),,,,0,0,[],http://t1.gstatic.com/images?q=tbn:ANd9GcTJeeOPjUXGaVXBUny3x3HL_NbIhAMdUAZrVeWmXnnlyZSo8GumGX2hn-pR
Frankfurt School of Finance & Management,독일,,https://www.frankfurt-school.de/home/about/international-office/incoming,2,"IELTS 7.0, TOEFL iBT 90, TOEIC 800 중 한 가지 제출",Yes ( With taking 1 exchange spot),no,Yes,,0,0,[],http://t1.gstatic.com/images?q=tbn:ANd9GcR7HhBFdJyY7nffrkAayQfT0_1KSPDCEq1J2dUDYV_s6h8cdJQJ30dhoEg
Leuphana University of Lüneburg,독일,,https://www.leuphana.de/en/services/io/incomings/exchange.html,5,"영어 수업 수강 : 토플 80, IELTS 6.0, TOEIC 880, Letter of Proficiency 중 한 가지 제출
독일어 수업 수강 : B1, Letter of Proficiency (B1 수준 증명)",Yes ( With taking 1 exchange spot),other foreign language beginner courses than German,Yes,"['함부르크', '작다', '재미', '필요하다', '근교', '늘다', '대학도시', '않다', '하루', '갖다']",3.67,6,"['미디어커뮤니케이션학과', '통계학과', '사학과', '심리학과', '경제학과']",http://t1.gstatic.com/images?q=tbn:ANd9GcQJRp2tVMvdqlxZHzmQIIM3FUmbiJcTAQm__UDhgLVcOiqENiUGnZJkfhfS
HFU - Furtwangen University,독일,,https://www.hs-furtwangen.de/en/planning/international/erasmus/student-exchange-semester-abroad/,6,"영어 수업 수강 : 토플 80, IELTS 6.0, TOEIC 880, Letter of Proficiency 중 한 가지 제출
독일어 수업 수강 : B1",Yes ( With taking 1 exchange spot),no,Yes,,0,0,[],http://t1.gstatic.com/images?q=tbn:ANd9GcQLacANkb-jrcaV0cI-Yw0VjAh5pyWw8Xhu_sO6fsQv3tFFrFCTCwEQJig
Frankfurt University of Applied Sciences,독일,,https://www.frankfurt-university.de/en/studies/international-office/incomings/exchange/,5 (경영 최대 2-3명),"토플 80, IELTS 6.0, TOEIC 880 중 한 가지 제출",No,Students cannot mix courses of different faculties,No,"['은행', '놀다', '조금', '느껴지다', '오자', '비다', '감성', '실망하다', '자다', '최대한']",4.43,7,"['글로벌경영학과', '미디어커뮤니케이션학과', '경영학과', '영어영문학과', '식품생명공학과']",http://t1.gstatic.com/images?q=tbn:ANd9GcRSTpe6-j5RnqO9RnmppDlXmbPeDSMXZ-zr6Oks0gOvmJASDiyu0e1cQfk
Hochschule Worms University of Applied Sciences,독일,,https://www.hs-worms.de/international/incoming-students/exchange-students/,6,"토플 80, IELTS 6.0, TOEIC 880, Letter of Proficiency 중 한 가지 제출",Yes ( With taking 1 exchange spot),https://www.hs-worms.de/international/incoming-students/exchange-students/course-offer-in-english/,Yes,"['작다', '경험', '마을', '살다', '나쁘다', '적다', '길다', '크다', '갈다', '평화롭다']",3.75,4,"['사회복지학과', '행정학과', '심리학과']",http://t1.gstatic.com/images?q=tbn:ANd9GcRMTWuavNOUjSayVG-BJMHov9T_uam1bQBZcBE5k8BA6vMiy-Ee5N6pnls
"Mainz, University of Applied Sciences",독일,,https://www.hs-mainz.de/en/academics/international/incoming/,"8 (경영 6명, 디자인 2명)","토플 80, IELTS 6.0, TOEIC 880, Letter of Proficiency 중 한 가지 제출",Yes ( With taking 1 exchange spot),no,Yes,,0,0,[],http://t1.gstatic.com/images?q=tbn:ANd9GcTbfD26mLC0haO6YEjuGMTqJPtB3AFiC3GdUh2Y144Nhf8Y_73UFTTYxIFS
Hochschule für Wirtschaft und Recht Berlin / Berlin School of Economics and Law,독일,,https://www.hwr-berlin.de/en/study/international-study/exchange-students-at-hwr-berlin/,10,"영어수업수강 : 토플 80, IELTS 6.0, TOEIC 880, Letter of Proficiency 중 한 가지 제출
독일어수업수강 : Students providing proof of B2 German language Level may also take undergraduate courses taught in German",Yes ( With taking 1 exchange spot),Only undergraduate courses taught in English offered by the Business and Economics Department. ,Yes,"['비용', '특권', '약간', '가세', '졸업', '맞다', '관광', '꼬이다', '편임', '일단']",4.36,22,"['경영학과', '글로벌경영학과', '경제학과', '미디어커뮤니케이션학과', '시스템경영공학과', '통계학과']",http://t1.gstatic.com/images?q=tbn:ANd9GcSb0WozZNr4Qq5ppgxmY1WNf1PL2OlkVFAWtxL13jVCs5ldrOmI9HzrIpI
Friedrich-Alexander-University Erlangen-Nürnberg,독일,공과대학만 지원가능,https://www.fau.eu/study/international/from-abroad/exchange-programme-placement/semester-abroad-at-fau/,5,"토플 80, IELTS 6.0, TOEIC 880, Letter of Proficiency 중 한 가지 제출",Yes ( With taking 1 exchange spot),"Exchange agreement only in Engineering and related fields, namely Material Sciences",Yes,,0,0,[],http://t1.gstatic.com/images?q=tbn:ANd9GcRNlXaQ1qHFWHaCcFub6Bzz4M2hkGbfdYMOEIBtxKLzMPHSjkbh_YA5CsQ
Chemnitz University of Technology,독일,심리학과 수강 불가,https://www.tu-chemnitz.de/international/incoming/erasmus/index.php.en,2,"토플 80, IELTS 6.0, TOEIC 880, Letter of Proficiency 중 한 가지 제출",Yes ( Without taking 1 exchange spot),Psychology,Yes,,0,0,[],http://t1.gstatic.com/images?q=tbn:ANd9GcQudZ_IzLZ8Aau5nYK8E36JeIoui7eIUquJvfWOfYet0G4HyyOeWWSSsZ4
University of Tübingen,독일,독문과 우선선발,https://uni-tuebingen.de/en/international/study-in-tuebingen/erasmus-and-exchange-to-tuebingen/,9,"영어수업수강 : 토플 80, IELTS 6.0, TOEIC 880, Letter of Proficiency 중 한 가지 제출
독일어수업 수강 (독일어랭귀지코스 수강 가능) : B2 (Letter of Proficiency - B2 증명)",Yes ( With taking 1 exchange spot),Medicine is not open to exchange students. German language courses usually start at a B1 level. Spaces in German beginners courses (A1/A2) are limited and cannot be guarantueed.,Yes,"['사실', '독일', '학기', '경우', '월간', '직전', '생활', '인턴', '같다', '교환학생']",5.0,1,['독어독문학과'],http://t1.gstatic.com/images?q=tbn:ANd9GcSa_Q01TsB2xaOHk9DCrth1ZOtPfGBPJtdnw_2laJtFcRIWWaQz3dO1zDo
Ulm University,독일,,https://www.uni-ulm.de/en/io/mob-in/applying/exchange-students/,2,"IBT TOEFL 88, 또는 IELTS 6.5",Yes ( With taking 1 exchange spot),medicine,Yes,,0,0,[],http://t1.gstatic.com/images?q=tbn:ANd9GcROV2fCi3ooQKqx1CFE9CdE4FY614biDD-X8-NsXBqlrQ4v5LFqwh869DY
Hochschule Osnabrück,독일,"Business Management, Social Sciences 수강 가능",https://www.hs-osnabrueck.de/en/study/study-offerings/international/incoming/visiting-students/,2,"토플 IBT 80, 토익 750, IELTS 5.5 중 한 가지 제출
Detailed Information at https://www.hs-osnabrueck.de/en/university/faculties/wiso/international/incoming/#c209973. ",Yes ( With taking 1 exchange spot),"Courses taught in English will be sent to you per E-Mail, which are available for exchange students. German courses are available, too, as long as students have required German language proficiency",Yes,,0,0,[],http://t1.gstatic.com/images?q=tbn:ANd9GcSBflQgYQhTuI7tlGr_0lo9UuLtEHJ8BXgRU8-q9_Fmt72ETpw6hqBVzhjO
Technical University of Munich ,독일,,https://www.wi.tum.de/student-life/incoming-students/,2,"영어 수업 수강 : 토플 80, IELTS 6.0, TOEIC 880 중 한 가지 제출
독일어 수업 수강 : ★학과 따라 상이★ B1, B2 (TUM School of Management, School of Education and the Center of Life and Sciences in Weihenstephan)",No,no,Yes,,0,0,[],http://t1.gstatic.com/images?q=tbn:ANd9GcR0YqxjuZsuuRdpxMZWcyy1I_UbnM5nN90zgU5OtBdHO5qov_-H8EB4R10
Ruhr-Universität Bochum,독일,,https://international.rub.de/gaststudis/index.html.en,3,"영어 : 토플 80, IELTS 6.0, TOEIC 880, Letter of Proficiency 중 한 가지 제출
독일어 : B1 or B2 증명하는 Letter of Proficiency
영어와 독일어 모두 충족 권장 (필수 X)",Yes ( With taking 1 exchange spot),"•	Human Resource Management
•	Organizational Management
•	Criminolgy and Police Science
•	International Humanitarian Action",Yes,,0,0,[],http://t1.gstatic.com/images?q=tbn:ANd9GcRsrajyeRw3pz_ZT8_BAIT_f3ZWbwJ-jdG9Vf3WNtSOtmbHCE8ySS0phzg
Cologne Business School,독일,글로벌경영/경영전공만 지원가능,www.cbs.de,"6 (4 CBS, 2 EMS) ","IBT 83, 또는 IELTS 6.5 ",No,No,No,"['라면', '절대로', '인생', '교환학생', '가면', '흥미진진', '가장', '생기다', '시간', '후회']",5.0,2,"['글로벌경영학과', '경영학과']",http://t1.gstatic.com/images?q=tbn:ANd9GcRtc_KqzYOGQnaF6v2vOcFam93O-nVFOjvWlkoFWj-91bbkbTR6by06CjG9
Universität Heidelberg,독일,,https://www.uni-heidelberg.de/en,4,"★주요과목 독일어★ No language certificates are required for the application.

Language of instruction: 
In general German with a few courses taught in English (unfortunately, no list available) 

Level of German proficiency requirement: 
In general, teaching and examinations are conducted in German. Students should therefore have a solid knowledge of German in order to effectively follow your courses. 
Students who need additional support regarding their German language proficiency are offered a large variety of different language programs at the University’s International Study Center. It offers an intensive four-weeks’ language course before the start of the semester as well as language instruction during the semester, supplementing regular university courses. An overview of the courses offered can be found at:
http://www.isz.uni-heidelberg.de/e_index.html
Additionally, the International Relations Office organizes various language tutorials for international students and provides a tandem service for students who wish to improve their level of class participation.
Exchange students whose language proficiency is not sufficient for taking part in university courses in their subject may be admitted to a full-time German language course upon prior consultation with the International Relations Office (20 hours of teaching per week). The course fee for the full-time German language course for students on levels from A1.1 to A2.2 will be covered by the International Relations Office of Heidelberg University. For students on level B1.1 there are general German language courses for 4 to 8 hours a week, supplementing the university course. In individual cases students on this level can participate in the full-time German language course after prior consultation with the exchange coordinator.",Yes ( With taking 1 exchange spot),"Programs or courses which are not open to exchange students: 
Modules from Faculty of Medicine, Faculty of Dentistry are not open to exchange students. For other restrictions, please refer to: 
http://www.uni-heidelberg.de/courses/prospective/admission_int/guide/destination_heidelberg.html",Yes,,0,0,[],http://t1.gstatic.com/images?q=tbn:ANd9GcRk1WkMuWzOTy4bQ80o3g9emFlU-ppaRZe_ZzXzBd1w-tPWg_umfGugbjo
Hof University of Applied Sciences,독일,Busines/Engineering/ComputerScience 만 열림,,3,"토플 IBT 80, 토익 750, IELTS 5.5 중 한 가지 제출
Detailed Information at https://www.hs-osnabrueck.de/en/university/faculties/wiso/international/incoming/#c209973. ",Yes ( With taking 1 exchange spot),,,,0,0,[],http://t1.gstatic.com/images?q=tbn:ANd9GcQGWJp8oa-ZEgqEzaS18cLjx4YgxdismHaHJstoaFg2K-uRdX2IpYLd5I4
Saint Petersburg University,러시아,,,3,"토플 80, IELTS 6.0, TOEIC 880, Letter of Proficiency 중 한 가지 제출",,,,,0,0,[],http://t1.gstatic.com/images?q=tbn:ANd9GcTMcQmUYCBzeial03r3PH9ehX7U9WDTnWM7f5cuErftqcHBTgVgCpRrn3nI
HSE University (Higher School of Economics),러시아,,https://studyabroad.hse.ru/en/,2,"토플 IBT 75, 또는 IELTS 6.5",Yes ( Without taking 1 exchange spot),all are available,Yes,,0,0,[],http://t1.gstatic.com/images?q=tbn:ANd9GcRUPLX-sQBdcrebTNmoIR9r_fYk8cac7e6q4dO1Hw-j5Aq2XC20a1S7gww
Vytautas Magnus University,리투아니아,,Yes,2,"토플 80, IELTS 6.0, TOEIC 880 중 한 가지 제출",Yes ( With taking 1 exchange spot),All departments are open but music and art areas have entry requirements of student gained study background,Yes,"['대해', '나라', '문화', '리투아니아', '새롭다', '되어다', '모더니즘', '체험', '독특하다', '하다']",3.0,1,['미술학과'],http://t1.gstatic.com/images?q=tbn:ANd9GcRHIS7kNS_Kyt26X3r3fgfQnxtZJ3HsSA6XHXpLe2Rwp45DkhO5RZ6O9apKnA
Universiti Teknologi Malaysia,말레이시아,,https://www.utm.my/international/utm-student-exchange-program/,depends on faculty acceptance,https://www.utm.my/international/utm-student-exchange-program/,Yes ( With taking 1 exchange spot),all faculty are open for exchange program,No,,0,0,[],http://t1.gstatic.com/images?q=tbn:ANd9GcRpVKZ5im3L7MqQl_NOi2tKqMY2O49LIQ7HAjW5m9HdjfIJDemUWLY_hPWK
Universidad Iberoamericana Ciudad de Mexico,멕시코,,https://www.iberopuebla.mx/international/incoming-exchange-students,3,Language is not a requirement,Yes ( With taking 1 exchange spot),no,Yes,,0,0,[],http://t1.gstatic.com/images?q=tbn:ANd9GcT19GySiRdwtcVd-U10uFNaUPhw0h5vwwRFRM52nlXmInmzQz3h3EG5Iuy_
UNIVERSIDAD AUTONOMA del Estado de Hidalgo,멕시코,,http://umap.org/programs/a_b/universidad-autonoma-del-estado-de-hidalgo-uaeh/,4,Spanish B2,Yes ( With taking 1 exchange spot),All Programs are available for exchange students,Yes,,0,0,[],http://t1.gstatic.com/images?q=tbn:ANd9GcSlZ7fnsck2TibTv48sbSlCYC9nsYnAD_GARsBDVXgfSWMOfi8XlhbWa_M
Instituto Tecnológico Autónomo de México (ITAM),멕시코,,https://www.otago.ac.nz/international/student-exchange/otago001485.html,2,"TOEFL 92, 또는 IELTS 7.0",Yes ( With taking 1 exchange spot),EGN General Studies Department,Yes,,0,0,[],http://t1.gstatic.com/images?q=tbn:ANd9GcTCioJ1ijpphnj_ij0sBzQ2I8_2PyAspl1xHS4fcSngZ8FZdmRz4BFU_js
